Data;Total de casos;Casos por dia;Óbitos por dia
05/jul/21;3790090;4231;66
06/jul/21;3809222;19132;714
07/jul/21;3824111;14889;546
08/jul/21;3838564;14453;543
09/jul/21;3853276;14712;482
10/jul/21;3860960;7684;105
11/jul/21;3866178;5218;75
12/jul/21;3869300;3122;65
13/jul/21;3879846;10546;640
14/jul/21;3896083;16237;519
15/jul/21;3908279;12196;537
16/jul/21;3919754;11475;419
17/jul/21;3936849;17095;448
18/jul/21;3939632;2783;35
19/jul/21;3942776;3144;97
20/jul/21;3947574;4798;590
21/jul/21;3966009;18435;483
22/jul/21;3979102;13093;493
23/jul/21;3991188;12086;418
24/jul/21;3997084;5896;327
25/jul/21;4001078;3994;25
26/jul/21;4003549;2471;37
27/jul/21;4015426;11877;467
28/jul/21;4027062;11636;361
29/jul/21;4038375;11313;335
30/jul/21;4048478;10103;266
31/jul/21;4057868;9390;294
01/ago/21;4061741;3873;43
02/ago/21;4063680;1939;20
03/ago/21;4073622;9942;405
04/ago/21;4084112;10490;406
05/ago/21;4094211;10099;265
06/ago/21;4104768;10557;293
07/ago/21;4113741;8973;249
08/ago/21;4117467;3726;78
09/ago/21;4119265;1798;54
10/ago/21;4129720;10455;468
11/ago/21;4138421;8701;387
12/ago/21;4147665;9244;294
13/ago/21;4156563;8898;241
14/ago/21;4164587;8024;329
15/ago/21;4168493;3906;60
16/ago/21;4170541;2048;21
17/ago/21;4179148;8607;526
18/ago/21;4187465;8317;336
19/ago/21;4195466;8001;281
20/ago/21;4202577;7111;261
21/ago/21;4209421;6844;172
22/ago/21;4212611;3190;31
23/ago/21;4214553;1942;27
24/ago/21;4222902;8349;267
25/ago/21;4229600;6698;257
26/ago/21;4236436;6836;245
27/ago/21;4244071;7635;304
28/ago/21;4250474;6403;183
29/ago/21;4253516;3042;23
30/ago/21;4255324;1808;36
31/ago/21;4262684;7360;278
01/set/21;4269138;6454;179
02/set/21;4275258;6120;164
03/set/21;4281972;6714;169
04/set/21;4288443;6471;178
05/set/21;4290459;2016;23
06/set/21;4291993;1534;18
07/set/21;4295149;3156;28
08/set/21;4297229;2080;15
09/set/21;4298180;951;218
